hanja,kor,radical,radical_name,stroke_count,level,rep_pron
儒,선비 유,人,사람 인,16,40,유
遺,남길 유,辵,쉬엄쉬엄갈 착,16,40,유
肉,고기 육,肉,고기 육,6,41,육
育,기를 육,肉,고기 육,8,70,육
閏,윤달 윤,門,문 문,12,30,윤
潤,불을 윤,水,물 수,15,31,윤
恩,은혜 은,心,마음 심,10,41,은
銀,은 은,金,쇠 금|성 김,14,60,은
隱,숨을 은,阜,언덕 부,17,40,은
乙,새 을,乙,둘째 천간 을,1,31,을
吟,읊을 음,口,입 구,7,30,음
音,소리 음,音,소리 음,9,61,음
淫,음란할 음,水,물 수,11,31,음
陰,그늘 음,阜,언덕 부,11,41,음
飮,마실 음,食,밥/먹을 식,13,61,음
邑,고을 읍,邑,고을 읍,7,70,읍
泣,울 읍,水,물 수,8,30,읍
凝,엉길 응,冫,얼음 빙,16,30,응
應,응할 응,心,마음 심,17,41,응
衣,옷 의,衣,옷 의,6,60,의
矣,어조사 의,矢,화살 시,7,30,의
宜,마땅 의,宀,집 면,8,30,의
依,의지할 의,人,사람 인,8,40,의
意,뜻 의,心,마음 심,13,61,의
義,옳을 의,羊,양 양,13,41,의
疑,의심할 의,疋,짝 필,14,40,의
儀,거동 의,人,사람 인,15,40,의
醫,의원 의,酉,닭 유,18,60,의
議,의논할 의,言,말씀 언,20,41,의
二,두 이,二,두 이,2,80,이
已,이미 이,己,몸 기,3,31,이
以,써 이,人,사람 인,5,51,이
耳,귀 이,耳,귀 이,6,50,이
而,말이을 이,而,말이을 이,6,30,이
夷,오랑캐 이,大,큰 대,6,30,이
異,다를 이,田,밭 전,11,40,이
移,옮길 이,禾,벼 화,11,41,이
益,더할 익,皿,그릇 명,10,41,익
翼,날개 익,羽,깃 우,17,31,익
人,사람 인,人,사람 인,2,80,인
仁,어질 인,人,사람 인,4,40,인
引,끌 인,弓,활 궁,4,41,인
因,인할 인,囗,에워쌀 위|나라 국,6,50,인
印,도장 인,卩,병부 절,6,41,인
忍,참을 인,心,마음 심,7,31,인
姻,혼인 인,女,계집 녀,9,30,인
寅,범/동방 인,宀,집 면,11,30,인
認,알 인,言,말씀 언,14,41,인
一,한 일,一,한 일,1,80,일
日,날 일,日,날 일,4,80,일
逸,편안할 일,辵,쉬엄쉬엄갈 착,12,31,일
壬,북방 임,士,선비 사,4,31,임
任,맡길 임,人,사람 인,6,51,임
賃,품삯 임,貝,조개 패,13,31,임
入,들 입,入,들 입,2,70,입
子,아들 자,子,아들 자,3,71,자
自,스스로 자,自,스스로 자,6,71,자
字,글자 자,子,아들 자,6,70,자
姉,손윗누이 자,女,계집 녀,8,40,자
者,놈 자,老,늙을 로,9,60,자
姿,모양 자,女,계집 녀,9,40,자
恣,마음대로/방자할 자,心,마음 심,10,30,자
玆,이 자,玄,검을 현,10,30,자
紫,자줏빛 자,糸,실 사|가는실 멱,12,31,자
慈,사랑 자,心,마음 심,13,31,자
資,재물 자,貝,조개 패,13,40,자
作,지을 작,人,사람 인,7,61,작
昨,어제 작,日,날 일,9,61,작
酌,술부을/잔질할 작,酉,닭 유,10,30,작
爵,벼슬 작,爪,손톱 조,18,30,작
殘,남을 잔,歹,뼈앙상할 알|나쁠 대,12,40,잔
暫,잠깐 잠,日,날 일,15,31,잠
潛,잠길 잠,水,물 수,15,31,잠
雜,섞일 잡,隹,새 추,18,40,잡
丈,어른 장,一,한 일,3,31,장
壯,장할 장,士,선비 사,7,40,장
長,긴 장,長,긴 장,8,80,장
章,글 장,立,설 립,11,60,장
莊,씩씩할 장,艸,풀 초,11,31,장
張,베풀 장,弓,활 궁,11,40,장
帳,장막 장,巾,수건 건,11,40,장
將,장수 장,寸,마디 촌,11,41,장
場,마당 장,土,흙 토,12,71,장
粧,단장할 장,米,쌀 미,12,31,장
掌,손바닥 장,手,손 수,12,31,장
葬,장사지낼 장,艸,풀 초,13,31,장
裝,꾸밀 장,衣,옷 의,13,40,장
腸,창자 장,肉,고기 육,13,40,장
障,막을 장,阜,언덕 부,14,41,장
獎,장려할 장,犬,개 견,15,40,장
墻,담 장,土,흙 토,16,30,장
藏,감출 장,艸,풀 초,18,31,장
臟,오장 장,肉,고기 육,22,31,장
才,재주 재,手,손 수,3,61,재
在,있을 재,土,흙 토,6,60,재
再,두 재,冂,멀 경,6,50,재
材,재목 재,木,나무 목,7,51,재
災,재앙 재,火,불 화,7,50,재
哉,어조사 재,口,입 구,9,30,재
財,재물 재,貝,조개 패,10,51,재
宰,재상 재,宀,집 면,10,30,재
栽,심을 재,木,나무 목,10,31,재
裁,옷마를 재,衣,옷 의,12,31,재
載,실을 재,車,수레 거/차,13,31,재
爭,다툴 쟁,爪,손톱 조,8,50,쟁
低,낮을 저,人,사람 인,7,41,저
抵,막을 저,手,손 수,8,31,저
底,밑 저,广,집 엄,8,40,저
貯,쌓을 저,貝,조개 패,12,50,저
著,나타날 저,艸,풀 초,13,31,저
赤,붉을 적,赤,붉을 적,7,50,적
的,과녁 적,白,흰 백,8,51,적
寂,고요할 적,宀,집 면,11,31,적
笛,피리 적,竹,대 죽,11,31,적
跡,발자취 적,足,발 족 / 족할 족,13,31,적
賊,도둑 적,貝,조개 패,13,40,적
滴,물방울 적,水,물 수,14,30,적
摘,딸 적,手,손 수,14,31,적
適,맞을 적,辵,쉬엄쉬엄갈 착,15,40,적
