hanja,h,k
枯,古,옛 고
曲,由,말미암을 유
曲,丨,뚫을 곤
穀,𥞤,곡식 곡
穀,殳,몽둥이 수
哭,犬,개 견
哭,吅,부르짖을 훤
谷,𠔁,나눌 별
谷,口,입 구
困,囗,나라 국
困,木,나무 목
坤,土,흙 토
坤,申,거듭 신
骨,冂,멀 경
骨,一,한 일
骨,丨,뚫을 곤
骨,肎,뼈 사이의 살 긍
工,工,장인 공
空,穴,구멍 혈
空,工,장인 공
公,八,여덟 팔
公,厶,사사 사
共,龷,-
共,八,여덟 팔
功,力,힘 력(역)
功,工,장인 공
孔,子,아들 자
孔,乚,숨을 은
攻,攵,칠 복
攻,工,장인 공
貢,貝,조개 패
貢,工,장인 공
供,亻,사람인변 인
供,共,한가지 공
恐,巩,굳을 공
恐,心,마음 심
恭,㣺,마음 심
恭,共,한가지 공
果,木,나무 목
果,日,날 일
科,禾,벼 화
科,斗,말 두
課,言,말씀 언
課,果,실과 과
過,辶,쉬엄쉬엄 갈 착
過,咼,입 비뚤어질 괘
誇,言,말씀 언
誇,夸,자랑할 과
寡,宀,집 면
寡,丆,구결자 면
寡,且,또 차
寡,分,나눌 분
郭,享,누릴 향
郭,⻏,우부방 읍
觀,見,볼 견
觀,雚,황새 관
關,門,문 문
關,𢇇,실 꿸 관
官,宀,집 면
官,㠯,써 이
管,𥫗,대죽 죽
管,官,벼슬 관
寬,宀,집 면
寬,萈,뿔이 가는 산양 환
貫,毋,말 무
貫,貝,조개 패
館,飠,밥식 식
館,官,벼슬 관
慣,忄,심방변 심
慣,貫,꿸 관
冠,冖,덮을 멱
冠,㝴,둥글게 깎을 완
光,⺌,작을 소
光,兀,우뚝할 올
廣,广,집 엄
廣,黃,누를 황
鑛,金,쇠 금
鑛,廣,넓을 광
狂,犭,개사슴록변 견
狂,王,임금 왕
掛,扌,재방변 수
掛,卦,점괘 괘
壞,土,흙 토
壞,褱,품을 회
怪,忄,심방변 심
怪,圣,힘쓸 골
塊,土,흙 토
塊,鬼,귀신 귀
愧,忄,심방변 심
愧,鬼,귀신 귀
校,木,나무 목
校,交,사귈 교
敎,𡥉,교도할 교
敎,攵,칠 복
交,亠,돼지해머리 두
交,父,아버지 부
橋,木,나무 목
橋,喬,높을 교
巧,工,장인 공
巧,丂,공교할 교
較,車,수레 차
較,交,사귈 교
郊,交,사귈 교
郊,⻏,우부방 읍
矯,矢,화살 시
矯,喬,높을 교
九,九,아홉 구
口,口,입 구
球,王,임금 왕
球,求,구할 구
區,匚,상자 방
區,品,물건 품
具,八,여덟 팔
具,目,눈 목
具,一,한 일
舊,臼,절구 구
舊,萑,풀 많을 추
救,攵,칠 복
救,求,구할 구
求,氺,물 수
求,一,한 일
求,丶,점 주
句,口,입 구
句,勹,쌀 포
究,穴,구멍 혈
究,九,아홉 구
構,木,나무 목
構,冓,짤 구
久,久,오랠 구
拘,扌,재방변 수
拘,句,글귀 구
丘,一,한 일
丘,斤,근 근
俱,亻,사람인변 인
俱,具,갖출 구
龜,龜,땅 이름 구
驅,馬,말 마
驅,區,구분할 구
苟,艹,초두머리 초
苟,句,글귀 구
懼,忄,심방변 심
懼,瞿,놀랄 구
狗,犭,개사슴록변 견
狗,句,글귀 구
國,囗,나라 국
國,或,혹 혹
局,𡰪,볼기 독
局,𠃌,-
菊,艹,초두머리 초
菊,匊,움킬 국
軍,車,수레 차
軍,冖,덮을 멱
郡,君,임금 군
郡,⻏,우부방 읍
君,口,입 구
君,尹,성씨 윤
群,羊,양 양
群,君,임금 군
屈,尸,주검 시
屈,出,날 출
宮,宀,집 면
宮,呂,성씨 려(여)
窮,穴,구멍 혈
窮,躬,몸 궁
弓,弓,활 궁
權,木,나무 목
權,雚,황새 관
券,龹,밥 뭉칠 권
券,刀,칼 도
勸,力,힘 력(역)
勸,雚,황새 관
卷,㔾,병부 절
卷,龹,밥 뭉칠 권
拳,手,손 수
拳,龹,밥 뭉칠 권
厥,厂,기슭 엄
厥,欮,상기 궐
軌,車,수레 차
軌,九,아홉 구
貴,𠀐,-
貴,貝,조개 패
歸,止,그칠 지
歸,𠂤,쌓을 퇴
歸,帚,비 추
鬼,甶,귀신 머리 불
鬼,儿,어진 사람 인
鬼,厶,사사 사
規,見,볼 견
規,夫,지아비 부
糾,糹,가는 실 멱
糾,丩,얽힐 구
叫,口,입 구
叫,丩,얽힐 구
均,土,흙 토
均,匀,고를 균
菌,艹,초두머리 초
菌,囷,곳집 균
極,木,나무 목
極,亟,빠를 극
劇,刂,선칼도방 도
劇,豦,큰 돼지 거
克,儿,어진 사람 인
克,古,옛 고
根,木,나무 목
根,艮,괘 이름 간
近,辶,쉬엄쉬엄 갈 착
近,斤,근 근
勤,力,힘 력(역)
勤,堇,진흙 근
筋,𥫗,대죽 죽
筋,肋,갈빗대 륵(늑)
僅,亻,사람인변 인
僅,堇,진흙 근
謹,言,말씀 언
謹,堇,진흙 근
斤,𠂋,-
斤,丨,뚫을 곤
金,𠆢,사람 인
金,王,임금 왕
金,八,여덟 팔
今,亽,구결자 라(나)
今,𠃍,-
禁,示,보일 시
禁,林,수풀 림(임)
禽,𠆢,사람 인
禽,离,떠날 리(이)
錦,金,쇠 금
錦,帛,비단 백
琴,玨,쌍옥 각
琴,今,이제 금
急,心,마음 심
急,刍,꼴 추
級,糹,가는 실 멱
級,及,미칠 급
給,糹,가는 실 멱
給,合,합할 합
及,丿,삐침 별
及,乛,구결자 야
及,又,또 우
肯,⺼,육달월 월
肯,止,그칠 지
氣,气,기운 기
氣,米,쌀 미
記,言,말씀 언
記,己,몸 기
旗,方,모 방
旗,𠂉,-
旗,其,그 기
基,土,흙 토
基,其,그 기
己,己,몸 기
汽,氵,삼수변 수
汽,气,기운 기
期,月,달 월
期,其,그 기
技,扌,재방변 수
