hanja,h,k
錯,昔,예 석
捉,扌,재방변 수
捉,足,발 족
讚,言,말씀 언
讚,贊,도울 찬
贊,貝,조개 패
贊,兟,나아갈 신
察,宀,집 면
察,祭,제사 제
參,𠫯,묶을 루(누)
參,彡,터럭 삼
慙,心,마음 심
慙,斬,벨 참
慘,忄,심방변 심
慘,參,참여할 참
窓,穴,구멍 혈
窓,厶,사사 사
窓,心,마음 심
唱,口,입 구
唱,昌,창성할 창
創,刂,선칼도방 도
創,倉,곳집 창
昌,日,날 일
昌,曰,가로 왈
蒼,艹,초두머리 초
蒼,倉,곳집 창
倉,亼,모일 집
倉,𠁣,-
倉,口,입 구
暢,申,거듭 신
暢,昜,볕 양
採,扌,재방변 수
採,采,풍채 채
債,亻,사람인변 인
債,責,꾸짖을 책
彩,彡,터럭 삼
彩,采,풍채 채
菜,艹,초두머리 초
菜,采,풍채 채
責,貝,조개 패
責,龶,-
冊,冂,멀 경
冊,卄,스물 입
策,𥫗,대죽 죽
策,朿,가시 자
處,虍,호피 무늬 호
處,処,곳 처
妻,女,여자 녀(여)
妻,一,한 일
妻,肀,붓 사
尺,尸,주검 시
尺,丶,점 주
戚,戊,천간 무
戚,尗,아저씨 숙
拓,扌,재방변 수
拓,石,돌 석
斥,斤,근 근
斥,丶,점 주
千,千,일천 천
天,大,클 대
天,一,한 일
川,川,내 천
泉,水,물 수
泉,白,흰 백
踐,𧾷,발족 족
踐,戔,나머지 잔
賤,貝,조개 패
賤,戔,나머지 잔
淺,氵,삼수변 수
淺,戔,나머지 잔
遷,辶,쉬엄쉬엄 갈 착
遷,䙴,오를 선
薦,艹,초두머리 초
薦,廌,해태 치
鐵,金,쇠 금
